6 132 AUDJPY,20010103,230000,64.29,64.75,63.04,63.37,4
5 156 AUDJPY,20010104,230000,63.37,65.60,63.23,65.58,4
4 250 AUDJPY,20010105,230000,65.58,66.73,65.55,66.60,4
6 1440 AUDJPY,20010106,230000,66.58,66.60,66.58,66.60,4
6 1440 AUDJPY,20010107,230000,66.58,66.60,66.58,66.60,4
5 93 AUDJPY,20010108,230000,66.58,66.67,65.47,65.94,4
6 208 AUDJPY,20010109,230000,65.94,66.08,64.73,65.78,4
6 154 AUDJPY,20010110,230000,65.78,65.83,64.31,64.47,4
6 249 AUDJPY,20010111,230000,64.47,66.16,64.42,66.10,4
5 297 AUDJPY,20010112,230000,66.10,66.49,65.37,65.90,4
6 1440 AUDJPY,20010113,230000,65.90,65.90,65.90,65.90,4
6 1440 AUDJPY,20010114,230000,65.90,65.90,65.90,65.90,4
5 182 AUDJPY,20010115,230000,65.90,66.04,65.33,66.01,4
5 36 AUDJPY,20010116,230000,66.04,66.20,65.00,65.34,4
4 12 AUDJPY,20010117,230000,65.38,65.88,64.71,65.75,4
4 10 AUDJPY,20010118,230000,65.76,66.31,65.37,66.03,4
2 148 AUDJPY,20010119,230000,66.05,66.37,65.00,65.00,4
6 1440 AUDJPY,20010120,230000,65.00,65.00,65.00,65.00,4
6 1440 AUDJPY,20010121,230000,65.00,65.00,65.00,65.00,4
6 80 AUDJPY,20010122,230000,65.00,65.16,64.24,64.70,4
5 150 AUDJPY,20010123,230000,64.70,65.38,64.24,64.33,4
