2 13 AUDJPY,20010103,000000,64.29,64.35,64.25,64.34,4
2 3 AUDJPY,20010103,010000,64.34,64.49,64.34,64.42,4
1 2 AUDJPY,20010103,020000,64.42,64.57,64.42,64.46,4
1 2 AUDJPY,20010103,030000,64.46,64.65,64.44,64.65,4
2 2 AUDJPY,20010103,040000,64.65,64.75,64.58,64.60,4
1 1 AUDJPY,20010103,050000,64.60,64.70,64.57,64.68,4
1 3 AUDJPY,20010103,060000,64.68,64.69,64.58,64.60,4
1 3 AUDJPY,20010103,070000,64.60,64.65,64.58,64.63,4
AUDJPY,20010103,080000,64.63,64.63,64.39,64.53,4
1 1 AUDJPY,20010103,090000,64.54,64.66,64.54,64.62,4
2 10 AUDJPY,20010103,100000,64.62,64.72,64.57,64.71,4
1 6 AUDJPY,20010103,110000,64.71,64.73,64.48,64.53,4
AUDJPY,20010103,120000,64.53,64.63,64.50,64.60,4
AUDJPY,20010103,130000,64.60,64.65,64.38,64.43,4
AUDJPY,20010103,140000,64.44,64.44,64.24,64.32,4
1 2 AUDJPY,20010103,150000,64.31,64.34,64.17,64.32,4
2 2 AUDJPY,20010103,160000,64.31,64.44,64.28,64.32,4
AUDJPY,20010103,170000,64.32,64.42,64.26,64.41,4
2 6 AUDJPY,20010103,180000,64.41,64.45,64.29,64.29,4
2 5 AUDJPY,20010103,190000,64.29,64.30,63.81,63.81,4
2 19 AUDJPY,20010103,200000,63.81,63.81,63.25,63.33,4
2 30 AUDJPY,20010103,210000,63.33,63.33,63.04,63.15,4
2 7 AUDJPY,20010103,220000,63.15,63.20,63.09,63.19,4
2 15 AUDJPY,20010103,230000,63.19,63.37,63.16,63.37,4
1 9 AUDJPY,20010104,000000,63.37,63.52,63.32,63.42,4
1 2 AUDJPY,20010104,010000,63.42,63.49,63.35,63.42,4
AUDJPY,20010104,020000,63.41,63.44,63.30,63.30,4
2 7 AUDJPY,20010104,030000,63.30,63.31,63.25,63.27,4
1 2 AUDJPY,20010104,040000,63.27,63.36,63.23,63.36,4
2 4 AUDJPY,20010104,050000,63.36,63.40,63.35,63.36,4
2 11 AUDJPY,20010104,060000,63.36,63.43,63.34,63.38,4
2 7 AUDJPY,20010104,070000,63.39,63.50,63.38,63.46,4
1 1 AUDJPY,20010104,080000,63.46,64.07,63.46,64.05,4
AUDJPY,20010104,090000,64.06,64.56,64.05,64.56,4
AUDJPY,20010104,100000,64.55,64.64,64.35,64.48,4
AUDJPY,20010104,110000,64.48,64.83,64.44,64.70,4
AUDJPY,20010104,120000,64.70,64.76,64.42,64.42,4
AUDJPY,20010104,130000,64.41,64.66,64.28,64.66,4
AUDJPY,20010104,140000,64.66,64.71,64.50,64.71,4
AUDJPY,20010104,150000,64.70,64.92,64.70,64.90,4
AUDJPY,20010104,160000,64.89,65.24,64.87,65.22,4
1 2 AUDJPY,20010104,170000,65.22,65.27,65.08,65.26,4
2 12 AUDJPY,20010104,180000,65.26,65.37,65.25,65.29,4
2 36 AUDJPY,20010104,190000,65.28,65.35,65.25,65.33,4
2 26 AUDJPY,20010104,200000,65.33,65.39,65.32,65.37,4
2 33 AUDJPY,20010104,210000,65.43,65.48,65.37,65.48,4
2 4 AUDJPY,20010104,220000,65.47,65.55,65.46,65.52,4
AUDJPY,20010104,230000,65.52,65.60,65.39,65.58,4
AUDJPY,20010105,000000,65.58,66.04,65.55,66.04,4
AUDJPY,20010105,010000,66.04,66.29,65.93,66.04,4
1 2 AUDJPY,20010105,020000,66.05,66.23,65.99,66.23,4
AUDJPY,20010105,030000,66.22,66.69,66.17,66.54,4
AUDJPY,20010105,040000,66.54,66.54,66.38,66.42,4
AUDJPY,20010105,050000,66.41,66.73,66.40,66.71,4
AUDJPY,20010105,060000,66.70,66.70,66.33,66.35,4
1 1 AUDJPY,20010105,070000,66.35,66.35,66.18,66.27,4
AUDJPY,20010105,080000,66.26,66.40,66.20,66.30,4
AUDJPY,20010105,090000,66.29,66.32,66.08,66.29,4
AUDJPY,20010105,100000,66.30,66.36,66.25,66.28,4
AUDJPY,20010105,110000,66.27,66.44,66.24,66.33,4
AUDJPY,20010105,120000,66.33,66.44,66.16,66.23,4
AUDJPY,20010105,130000,66.23,66.38,66.21,66.31,4
AUDJPY,20010105,140000,66.31,66.48,66.09,66.26,4
AUDJPY,20010105,150000,66.25,66.34,66.14,66.33,4
1 3 AUDJPY,20010105,160000,66.27,66.37,66.23,66.33,4
1 2 AUDJPY,20010105,170000,66.32,66.36,66.25,66.30,4
2 14 AUDJPY,20010105,180000,66.37,66.39,66.24,66.24,4
2 24 AUDJPY,20010105,190000,66.23,66.53,66.21,66.53,4
2 35 AUDJPY,20010105,200000,66.53,66.62,66.53,66.62,4
2 49 AUDJPY,20010105,210000,66.62,66.64,66.58,66.60,4
2 47 AUDJPY,20010107,231700,66.58,66.61,66.53,66.53,4
2 25 AUDJPY,20010108,001700,66.53,66.61,66.51,66.56,4
1 1 AUDJPY,20010108,011700,66.56,66.65,66.53,66.65,4
1 1 AUDJPY,20010108,021700,66.65,66.67,66.49,66.49,4
1 1 AUDJPY,20010108,031700,66.49,66.51,66.39,66.39,4
AUDJPY,20010108,041700,66.39,66.43,66.32,66.32,4
1 1 AUDJPY,20010108,051700,66.32,66.33,66.18,66.22,4
AUDJPY,20010108,061700,66.22,66.29,66.20,66.26,4
2 14 AUDJPY,20010108,071700,66.25,66.25,66.16,66.23,4
AUDJPY,20010108,081700,66.23,66.27,66.14,66.16,4
AUDJPY,20010108,091700,66.17,66.17,66.08,66.13,4
AUDJPY,20010108,101700,66.13,66.13,65.86,65.94,4
AUDJPY,20010108,111700,65.95,66.10,65.91,65.91,4
AUDJPY,20010108,121700,65.91,66.00,65.83,65.89,4
AUDJPY,20010108,131700,65.88,66.04,65.85,66.00,4
AUDJPY,20010108,141700,65.99,65.99,65.75,65.91,4
AUDJPY,20010108,151700,65.92,65.95,65.78,65.81,4
1 1 AUDJPY,20010108,161700,65.81,65.92,65.70,65.73,4
2 4 AUDJPY,20010108,171700,65.73,65.74,65.56,65.63,4
1 5 AUDJPY,20010108,181700,65.64,65.66,65.47,65.64,4
2 12 AUDJPY,20010108,191700,65.63,65.64,65.51,65.57,4
2 14 AUDJPY,20010108,201700,65.57,65.87,65.57,65.86,4
2 6 AUDJPY,20010108,211700,65.87,66.08,65.85,66.05,4
2 2 AUDJPY,20010108,221700,66.04,66.04,65.75,65.81,4
1 6 AUDJPY,20010108,231700,65.81,65.97,65.79,65.95,4
1 2 AUDJPY,20010109,001700,65.95,66.08,65.80,65.86,4
AUDJPY,20010109,011700,65.85,65.86,65.45,65.54,4
AUDJPY,20010109,021700,65.54,65.66,65.52,65.66,4
AUDJPY,20010109,031700,65.65,65.76,65.62,65.71,4
1 3 AUDJPY,20010109,041700,65.71,65.71,65.40,65.42,4
AUDJPY,20010109,051700,65.42,65.42,65.27,65.37,4
AUDJPY,20010109,061700,65.38,65.39,65.30,65.33,4
2 20 AUDJPY,20010109,071700,65.34,65.42,65.32,65.35,4
1 1 AUDJPY,20010109,081700,65.35,65.43,65.32,65.33,4
AUDJPY,20010109,091700,65.34,65.34,65.15,65.23,4
AUDJPY,20010109,101700,65.22,65.22,65.11,65.11,4
1 1 AUDJPY,20010109,111700,65.10,65.21,65.02,65.18,4
AUDJPY,20010109,121700,65.18,65.19,64.99,65.01,4
AUDJPY,20010109,131700,65.00,65.14,64.84,64.85,4
AUDJPY,20010109,141700,64.85,65.11,64.73,65.11,4
1 1 AUDJPY,20010109,151700,65.11,65.30,65.10,65.28,4
2 3 AUDJPY,20010109,161700,65.29,65.57,65.29,65.54,4
2 6 AUDJPY,20010109,171700,65.54,65.75,65.54,65.69,4
2 23 AUDJPY,20010109,181700,65.69,65.80,65.68,65.80,4
2 48 AUDJPY,20010109,191700,65.80,65.80,65.65,65.69,4
2 48 AUDJPY,20010109,201700,65.69,65.74,65.69,65.74,4
2 41 AUDJPY,20010109,211700,65.74,65.85,65.74,65.85,4
1 7 AUDJPY,20010109,221700,65.85,65.86,65.77,65.85,4
AUDJPY,20010109,231700,65.85,65.87,65.76,65.78,4
AUDJPY,20010110,001700,65.78,65.81,65.67,65.68,4
AUDJPY,20010110,011700,65.68,65.74,65.50,65.61,4
1 1 AUDJPY,20010110,021700,65.61,65.62,65.52,65.56,4
AUDJPY,20010110,031700,65.56,65.58,65.33,65.33,4
AUDJPY,20010110,041700,65.34,65.36,64.69,64.73,4
AUDJPY,20010110,051700,64.72,64.91,64.54,64.54,4
AUDJPY,20010110,061700,64.55,64.70,64.43,64.64,4
2 9 AUDJPY,20010110,071700,64.64,64.96,64.62,64.95,4
2 4 AUDJPY,20010110,081700,64.94,65.12,64.88,64.98,4
AUDJPY,20010110,091700,64.98,64.98,64.81,64.84,4
1 2 AUDJPY,20010110,101700,64.84,64.95,64.79,64.91,4
AUDJPY,20010110,111700,64.91,65.08,64.88,65.06,4
AUDJPY,20010110,121700,65.06,65.30,65.00,65.18,4
1 1 AUDJPY,20010110,131700,65.18,65.20,64.88,64.89,4
AUDJPY,20010110,141700,64.88,64.97,64.81,64.95,4
2 8 AUDJPY,20010110,151700,64.95,65.08,64.93,65.05,4
1 1 AUDJPY,20010110,161700,65.05,65.06,64.82,64.87,4
AUDJPY,20010110,171700,64.87,64.91,64.69,64.71,4
2 20 AUDJPY,20010110,181700,64.70,64.85,64.70,64.84,4
2 25 AUDJPY,20010110,191700,64.88,64.96,64.88,64.92,4
2 15 AUDJPY,20010110,201700,64.91,64.91,64.72,64.81,4
2 41 AUDJPY,20010110,211700,64.81,64.86,64.76,64.76,4
2 10 AUDJPY,20010110,221700,64.76,64.76,64.47,64.47,4
2 33 AUDJPY,20010110,231700,64.48,64.51,64.31,64.51,4
2 30 AUDJPY,20010111,001700,64.51,64.66,64.51,64.60,4
1 6 AUDJPY,20010111,011700,64.59,64.61,64.42,64.58,4
AUDJPY,20010111,021700,64.58,64.88,64.54,64.85,4
1 15 AUDJPY,20010111,031700,64.85,64.85,64.70,64.73,4
2 4 AUDJPY,20010111,041700,64.73,64.83,64.72,64.73,4
1 3 AUDJPY,20010111,051700,64.74,64.84,64.71,64.78,4
AUDJPY,20010111,061700,64.78,64.86,64.77,64.79,4
2 37 AUDJPY,20010111,071700,64.80,64.80,64.70,64.70,4
1 2 AUDJPY,20010111,081700,64.69,64.75,64.62,64.71,4
2 5 AUDJPY,20010111,091700,64.72,64.87,64.68,64.82,4
1 1 AUDJPY,20010111,101700,64.82,65.20,64.81,65.16,4
AUDJPY,20010111,111700,65.15,65.22,64.79,65.20,4
1 2 AUDJPY,20010111,121700,65.19,65.39,65.15,65.37,4
1 1 AUDJPY,20010111,131700,65.38,65.60,65.37,65.52,4
AUDJPY,20010111,141700,65.51,65.56,65.39,65.44,4
1 1 AUDJPY,20010111,151700,65.45,65.74,65.36,65.66,4
2 7 AUDJPY,20010111,161700,65.66,65.70,65.50,65.51,4
2 18 AUDJPY,20010111,171700,65.51,65.95,65.51,65.90,4
2 15 AUDJPY,20010111,181700,65.88,66.16,65.85,66.05,4
2 24 AUDJPY,20010111,191700,66.05,66.13,66.04,66.09,4
2 24 AUDJPY,20010111,201700,66.08,66.11,65.98,66.03,4
2 32 AUDJPY,20010111,211700,66.03,66.03,65.94,66.03,4
2 4 AUDJPY,20010111,221700,66.03,66.05,65.97,66.03,4
1 2 AUDJPY,20010111,231700,66.04,66.21,65.98,66.08,4
AUDJPY,20010112,001700,66.08,66.11,66.00,66.00,4
AUDJPY,20010112,011700,66.00,66.08,65.92,65.99,4
AUDJPY,20010112,021700,65.99,66.00,65.84,65.85,4
1 1 AUDJPY,20010112,031700,65.86,66.05,65.86,65.94,4
AUDJPY,20010112,041700,65.94,66.15,65.92,66.02,4
AUDJPY,20010112,051700,66.02,66.42,66.01,66.38,4
AUDJPY,20010112,061700,66.38,66.43,66.14,66.19,4
1 1 AUDJPY,20010112,071700,66.19,66.34,66.17,66.30,4
1 1 AUDJPY,20010112,081700,66.31,66.49,66.25,66.30,4
1 4 AUDJPY,20010112,091700,66.30,66.30,65.92,66.01,4
1 4 AUDJPY,20010112,101700,66.02,66.07,65.78,65.78,4
2 4 AUDJPY,20010112,111700,65.78,65.90,65.73,65.89,4
2 2 AUDJPY,20010112,121700,65.89,66.05,65.83,66.04,4
2 6 AUDJPY,20010112,131700,66.05,66.15,65.98,66.01,4
AUDJPY,20010112,141700,66.00,66.05,65.67,65.71,4
2 10 AUDJPY,20010112,151700,65.70,65.71,65.37,65.70,4
2 17 AUDJPY,20010112,161700,65.69,65.77,65.49,65.70,4
2 15 AUDJPY,20010112,171700,65.70,65.71,65.41,65.56,4
2 27 AUDJPY,20010112,181700,65.67,65.83,65.61,65.77,4
2 12 AUDJPY,20010112,191700,65.78,65.90,65.78,65.90,4
2 32 AUDJPY,20010112,201700,65.90,65.90,65.84,65.85,4
2 58 AUDJPY,20010112,211700,65.85,65.90,65.85,65.90,4
2 7 AUDJPY,20010114,235700,65.90,66.03,65.84,66.03,4
AUDJPY,20010115,005700,66.03,66.04,65.81,65.83,4
AUDJPY,20010115,015700,65.82,65.82,65.44,65.55,4
AUDJPY,20010115,025700,65.54,65.91,65.33,65.76,4
AUDJPY,20010115,035700,65.76,65.91,65.71,65.89,4
AUDJPY,20010115,045700,65.90,65.94,65.76,65.76,4
AUDJPY,20010115,055700,65.77,65.87,65.71,65.85,4
AUDJPY,20010115,065700,65.85,65.96,65.78,65.82,4
1 1 AUDJPY,20010115,075700,65.81,65.81,65.52,65.66,4
2 6 AUDJPY,20010115,085700,65.62,65.90,65.61,65.83,4
2 6 AUDJPY,20010115,095700,65.84,65.86,65.71,65.73,4
1 1 AUDJPY,20010115,105700,65.72,65.78,65.64,65.78,4
2 4 AUDJPY,20010115,115700,65.80,65.93,65.66,65.67,4
2 7 AUDJPY,20010115,125700,65.73,65.76,65.63,65.64,4
AUDJPY,20010115,135700,65.63,65.67,65.55,65.57,4
1 1 AUDJPY,20010115,145700,65.57,65.62,65.44,65.44,4
2 4 AUDJPY,20010115,155700,65.45,65.77,65.45,65.77,4
1 2 AUDJPY,20010115,165700,65.77,65.85,65.70,65.81,4
2 4 AUDJPY,20010115,175700,65.81,65.81,65.61,65.61,4
2 42 AUDJPY,20010115,185700,65.61,65.63,65.57,65.60,4
2 50 AUDJPY,20010115,195700,65.59,65.68,65.59,65.63,4
2 45 AUDJPY,20010115,205700,65.63,65.64,65.54,65.64,4
1 5 AUDJPY,20010115,215700,65.67,65.78,65.60,65.72,4
AUDJPY,20010115,225700,65.71,66.04,65.71,66.01,4
1 1 AUDJPY,20010115,235700,66.02,66.20,66.01,66.12,4
AUDJPY,20010116,005700,66.12,66.13,65.85,65.94,4
AUDJPY,20010116,015700,65.94,65.97,65.69,65.89,4
AUDJPY,20010116,025700,65.88,66.04,65.81,66.03,4
AUDJPY,20010116,035700,66.00,66.15,65.99,66.05,4
AUDJPY,20010116,045700,66.05,66.05,65.76,65.82,4
AUDJPY,20010116,055700,65.81,65.91,65.80,65.86,4
AUDJPY,20010116,065700,65.84,65.85,65.52,65.61,4
1 1 AUDJPY,20010116,075700,65.61,65.88,65.52,65.78,4
AUDJPY,20010116,085700,65.78,65.87,65.68,65.84,4
AUDJPY,20010116,095700,65.86,65.86,65.69,65.72,4
AUDJPY,20010116,105700,65.70,65.73,65.47,65.60,4
AUDJPY,20010116,115700,65.59,65.65,65.51,65.65,4
1 9 AUDJPY,20010116,125700,65.66,65.85,65.60,65.85,4
