2 4 AUDJPY,20010102,233000,64.29,64.31,64.25,64.26,4
2 9 AUDJPY,20010103,000000,64.25,64.35,64.25,64.34,4
1 2 AUDJPY,20010103,003000,64.34,64.49,64.34,64.49,4
1 1 AUDJPY,20010103,010000,64.49,64.49,64.40,64.42,4
AUDJPY,20010103,013000,64.42,64.57,64.42,64.56,4
1 2 AUDJPY,20010103,020000,64.56,64.56,64.46,64.46,4
1 2 AUDJPY,20010103,023000,64.46,64.52,64.44,64.52,4
AUDJPY,20010103,030000,64.52,64.65,64.49,64.65,4
1 1 AUDJPY,20010103,033000,64.65,64.75,64.65,64.72,4
1 1 AUDJPY,20010103,040000,64.72,64.72,64.58,64.60,4
AUDJPY,20010103,043000,64.60,64.63,64.57,64.59,4
1 1 AUDJPY,20010103,050000,64.60,64.70,64.59,64.68,4
AUDJPY,20010103,053000,64.68,64.69,64.58,64.58,4
1 3 AUDJPY,20010103,060000,64.58,64.63,64.58,64.60,4
AUDJPY,20010103,063000,64.60,64.61,64.58,64.59,4
1 3 AUDJPY,20010103,070000,64.59,64.65,64.58,64.63,4
AUDJPY,20010103,073000,64.63,64.63,64.41,64.42,4
AUDJPY,20010103,080000,64.41,64.53,64.39,64.53,4
AUDJPY,20010103,083000,64.54,64.66,64.54,64.62,4
1 1 AUDJPY,20010103,090000,64.61,64.64,64.55,64.62,4
1 1 AUDJPY,20010103,093000,64.62,64.66,64.57,64.66,4
2 9 AUDJPY,20010103,100000,64.66,64.72,64.64,64.71,4
1 6 AUDJPY,20010103,103000,64.71,64.73,64.55,64.59,4
AUDJPY,20010103,110000,64.58,64.60,64.48,64.53,4
AUDJPY,20010103,113000,64.53,64.61,64.50,64.60,4
AUDJPY,20010103,120000,64.60,64.63,64.57,64.60,4
AUDJPY,20010103,123000,64.60,64.65,64.53,64.62,4
AUDJPY,20010103,130000,64.63,64.63,64.38,64.43,4
AUDJPY,20010103,133000,64.44,64.44,64.26,64.40,4
AUDJPY,20010103,140000,64.40,64.40,64.24,64.32,4
AUDJPY,20010103,143000,64.31,64.34,64.17,64.26,4
2 2 AUDJPY,20010103,150000,64.25,64.34,64.22,64.32,4
1 1 AUDJPY,20010103,153000,64.31,64.44,64.31,64.37,4
1 1 AUDJPY,20010103,160000,64.37,64.39,64.28,64.32,4
AUDJPY,20010103,163000,64.32,64.35,64.27,64.30,4
AUDJPY,20010103,170000,64.30,64.42,64.26,64.41,4
2 4 AUDJPY,20010103,173000,64.41,64.42,64.31,64.33,4
2 2 AUDJPY,20010103,180000,64.33,64.45,64.29,64.29,4
1 4 AUDJPY,20010103,183000,64.29,64.30,64.16,64.23,4
1 1 AUDJPY,20010103,190000,64.24,64.26,63.81,63.81,4
2 13 AUDJPY,20010103,193000,63.81,63.81,63.44,63.44,4
2 6 AUDJPY,20010103,200000,63.43,63.49,63.25,63.33,4
2 15 AUDJPY,20010103,203000,63.33,63.33,63.04,63.08,4
2 15 AUDJPY,20010103,210000,63.07,63.16,63.07,63.15,4
1 1 AUDJPY,20010103,213000,63.15,63.20,63.12,63.12,4
2 6 AUDJPY,20010103,220000,63.11,63.20,63.09,63.19,4
1 7 AUDJPY,20010103,223000,63.19,63.22,63.16,63.20,4
1 8 AUDJPY,20010103,230000,63.20,63.37,63.16,63.37,4
AUDJPY,20010103,233000,63.37,63.47,63.32,63.47,4
2 9 AUDJPY,20010104,000000,63.47,63.52,63.40,63.42,4
2 2 AUDJPY,20010104,003000,63.42,63.49,63.35,63.37,4
AUDJPY,20010104,010000,63.37,63.46,63.37,63.42,4
AUDJPY,20010104,013000,63.41,63.44,63.31,63.39,4
AUDJPY,20010104,020000,63.39,63.41,63.30,63.30,4
1 6 AUDJPY,20010104,023000,63.30,63.30,63.25,63.25,4
1 1 AUDJPY,20010104,030000,63.25,63.31,63.25,63.27,4
1 2 AUDJPY,20010104,033000,63.27,63.29,63.23,63.27,4
AUDJPY,20010104,040000,63.27,63.36,63.27,63.36,4
1 1 AUDJPY,20010104,043000,63.36,63.40,63.36,63.38,4
2 3 AUDJPY,20010104,050000,63.38,63.38,63.35,63.36,4
2 9 AUDJPY,20010104,053000,63.36,63.40,63.34,63.40,4
2 2 AUDJPY,20010104,060000,63.40,63.43,63.36,63.38,4
1 4 AUDJPY,20010104,063000,63.39,63.46,63.38,63.45,4
1 3 AUDJPY,20010104,070000,63.46,63.50,63.40,63.46,4
1 1 AUDJPY,20010104,073000,63.46,63.64,63.46,63.62,4
AUDJPY,20010104,080000,63.62,64.07,63.60,64.05,4
AUDJPY,20010104,083000,64.06,64.40,64.05,64.30,4
AUDJPY,20010104,090000,64.30,64.56,64.30,64.56,4
AUDJPY,20010104,093000,64.55,64.64,64.51,64.51,4
AUDJPY,20010104,100000,64.52,64.52,64.35,64.48,4
AUDJPY,20010104,103000,64.48,64.83,64.44,64.72,4
AUDJPY,20010104,110000,64.72,64.73,64.66,64.70,4
AUDJPY,20010104,113000,64.70,64.76,64.48,64.50,4
AUDJPY,20010104,120000,64.50,64.53,64.42,64.42,4
AUDJPY,20010104,123000,64.41,64.43,64.28,64.37,4
AUDJPY,20010104,130000,64.38,64.66,64.36,64.66,4
AUDJPY,20010104,133000,64.66,64.69,64.50,64.66,4
AUDJPY,20010104,140000,64.66,64.71,64.56,64.71,4
AUDJPY,20010104,143000,64.70,64.84,64.70,64.78,4
AUDJPY,20010104,150000,64.78,64.92,64.73,64.90,4
AUDJPY,20010104,153000,64.89,65.18,64.87,65.14,4
AUDJPY,20010104,160000,65.15,65.24,65.10,65.22,4
AUDJPY,20010104,163000,65.22,65.27,65.08,65.13,4
1 2 AUDJPY,20010104,170000,65.13,65.27,65.12,65.26,4
1 1 AUDJPY,20010104,173000,65.26,65.36,65.25,65.34,4
2 11 AUDJPY,20010104,180000,65.35,65.37,65.26,65.29,4
2 23 AUDJPY,20010104,183000,65.28,65.33,65.27,65.31,4
2 13 AUDJPY,20010104,190000,65.31,65.35,65.25,65.33,4
2 12 AUDJPY,20010104,193000,65.33,65.39,65.32,65.39,4
2 14 AUDJPY,20010104,200000,65.38,65.38,65.34,65.37,4
2 20 AUDJPY,20010104,203000,65.43,65.43,65.37,65.41,4
2 13 AUDJPY,20010104,210000,65.42,65.48,65.37,65.48,4
1 3 AUDJPY,20010104,213000,65.47,65.55,65.46,65.52,4
1 1 AUDJPY,20010104,220000,65.52,65.53,65.50,65.52,4
AUDJPY,20010104,223000,65.52,65.59,65.43,65.43,4
AUDJPY,20010104,230000,65.43,65.60,65.39,65.58,4
AUDJPY,20010104,233000,65.58,65.84,65.55,65.84,4
AUDJPY,20010105,000000,65.84,66.04,65.84,66.04,4
AUDJPY,20010105,003000,66.04,66.29,66.04,66.12,4
AUDJPY,20010105,010000,66.11,66.11,65.93,66.04,4
AUDJPY,20010105,013000,66.05,66.09,66.02,66.02,4
1 2 AUDJPY,20010105,020000,66.01,66.23,65.99,66.23,4
AUDJPY,20010105,023000,66.22,66.49,66.17,66.49,4
AUDJPY,20010105,030000,66.49,66.69,66.47,66.54,4
AUDJPY,20010105,033000,66.54,66.54,66.38,66.53,4
AUDJPY,20010105,040000,66.53,66.53,66.39,66.42,4
AUDJPY,20010105,043000,66.41,66.57,66.40,66.57,4
AUDJPY,20010105,050000,66.57,66.73,66.55,66.71,4
AUDJPY,20010105,053000,66.70,66.70,66.54,66.57,4
AUDJPY,20010105,060000,66.56,66.56,66.33,66.35,4
1 1 AUDJPY,20010105,063000,66.35,66.35,66.18,66.22,4
AUDJPY,20010105,070000,66.22,66.34,66.22,66.27,4
AUDJPY,20010105,073000,66.26,66.39,66.20,66.29,4
AUDJPY,20010105,080000,66.29,66.40,66.28,66.30,4
AUDJPY,20010105,083000,66.29,66.31,66.12,66.12,4
AUDJPY,20010105,090000,66.13,66.32,66.08,66.29,4
AUDJPY,20010105,093000,66.30,66.36,66.26,66.33,4
AUDJPY,20010105,100000,66.33,66.33,66.25,66.28,4
